From,To,Value,Stage,Conf_Tier
High-Major,Elite (NET<60),7,1,High-Major
Low-Major,Average (120-180),3,1,Low-Major
Low-Major,Elite (NET<60),1,1,Low-Major
Low-Major,Strong (60-120),3,1,Low-Major
Low-Major,Weak (180+),8,1,Low-Major
Mid-Major,Average (120-180),3,1,Mid-Major
Mid-Major,Elite (NET<60),1,1,Mid-Major
Mid-Major,Strong (60-120),4,1,Mid-Major
Power,Elite (NET<60),38,1,Power
Elite (NET<60),At-Large (AL),3,2,High-Major
Elite (NET<60),Auto-Qualifier (AQ),4,2,High-Major
Average (120-180),Auto-Qualifier (AQ),3,2,Low-Major
Elite (NET<60),Auto-Qualifier (AQ),1,2,Low-Major
Strong (60-120),Auto-Qualifier (AQ),3,2,Low-Major
Weak (180+),Auto-Qualifier (AQ),8,2,Low-Major
Average (120-180),Auto-Qualifier (AQ),3,2,Mid-Major
Elite (NET<60),Auto-Qualifier (AQ),1,2,Mid-Major
Strong (60-120),At-Large (AL),1,2,Mid-Major
Strong (60-120),Auto-Qualifier (AQ),3,2,Mid-Major
Elite (NET<60),At-Large (AL),33,2,Power
Elite (NET<60),Auto-Qualifier (AQ),5,2,Power
At-Large (AL),Low Seeds (33-48),1,3,High-Major
At-Large (AL),Mid Seeds (17-32),1,3,High-Major
At-Large (AL),Top Seeds (1-16),1,3,High-Major
Auto-Qualifier (AQ),Low Seeds (33-48),4,3,High-Major
Auto-Qualifier (AQ),Bubble (49-68),14,3,Low-Major
Auto-Qualifier (AQ),Low Seeds (33-48),1,3,Low-Major
At-Large (AL),Low Seeds (33-48),1,3,Mid-Major
Auto-Qualifier (AQ),Bubble (49-68),6,3,Mid-Major
Auto-Qualifier (AQ),Low Seeds (33-48),1,3,Mid-Major
At-Large (AL),Low Seeds (33-48),4,3,Power
At-Large (AL),Mid Seeds (17-32),14,3,Power
At-Large (AL),Top Seeds (1-16),15,3,Power
Auto-Qualifier (AQ),Low Seeds (33-48),4,3,Power
Auto-Qualifier (AQ),Mid Seeds (17-32),1,3,Power
