Tier_Label,Metric,Value
Top Seeds (1-16),Q1 Win %,43.5
Top Seeds (1-16),Q2 Win %,47.6
Top Seeds (1-16),Q3 Win %,76.6
Top Seeds (1-16),Q4 Win %,100.0
Top Seeds (1-16),NET Rank,97.4
Low Seeds (17-68),Q1 Win %,42.5
Low Seeds (17-68),Q2 Win %,41.1
Low Seeds (17-68),Q3 Win %,55.0
Low Seeds (17-68),Q4 Win %,83.5
Low Seeds (17-68),NET Rank,82.4
Non-Tournament,Q1 Win %,20.4
Non-Tournament,Q2 Win %,32.5
Non-Tournament,Q3 Win %,47.8
Non-Tournament,Q4 Win %,52.6
Non-Tournament,NET Rank,48.6
