Rank,Feature_Name,Category,Estimated_Importance_%,Description
1,NET Rank,NET Metrics,3.5,NCAA Evaluation Tool ranking
2,AQ_Conf_Penalty,Committee Logic,3.2,Penalty for AQ teams from weak conferences
3,Conf_Avg_NET,Conference Strength,3.0,Average NET rank of conference
4,AL_Conf_Strength,Committee Logic,2.8,Bonus for AL teams from strong conferences
5,Q1_W,Quadrant Records,2.5,Quadrant 1 wins (best wins)
6,Win_Pct,Win Percentages,2.3,Overall win percentage
7,Bubble_x_AQ,Committee Logic,2.2,AQ teams in bubble zone (NET 20-60)
8,NET_vs_Conf_Avg,Conference Strength,2.0,Team NET vs conference average
9,Quality_Score,Resume Scores,1.9,Weighted quality win/loss score
10,Bad_Losses,Quadrant Records,1.8,Losses to Q3/Q4 opponents
11,Conf_Tourney_Rate,Conference Strength,1.7,Conference tournament bid rate
12,Q1Q2_Wins,Quadrant Records,1.6,Combined Q1 and Q2 wins
13,Is_AQ,Bid Type,1.5,Automatic qualifier flag
14,Resume_Score,Resume Scores,1.4,Comprehensive resume score
15,NET_Change,NET Metrics,1.3,Change in NET rank from previous
